diameter,direction,steps,stepper_travel,measured_angle,n/d,m
0.2,cw,20,0.508,228.72,100,14.932
0.2,cw,20,0.508,227.43,100,14.932
0.2,cw,20,0.508,226.99,100,14.932
0.2,ccw,20,0.508,224.35,100,14.932
0.2,ccw,20,0.508,221.62,100,14.932
0.2,ccw,20,0.508,220.22,100,14.932
0.2,cw,15,0.381,138.27,75,14.932
0.2,cw,15,0.381,138.88,75,14.932
0.2,cw,15,0.381,138.77,75,14.932
0.2,ccw,15,0.381,135.79,75,14.932
0.2,ccw,15,0.381,137.03,75,14.932
0.2,ccw,15,0.381,136.36,75,14.932
0.2,cw,10,0.254,78.1,50,14.932
0.2,cw,10,0.254,74.63,50,14.932
0.2,cw,10,0.254,77.69,50,14.932
0.2,ccw,10,0.254,74.03,50,14.932
0.2,ccw,10,0.254,73.63,50,14.932
0.2,ccw,10,0.254,75.31,50,14.932
0.5,cw,10,0.254,46.12,20,6.912
0.5,cw,10,0.254,48.52,20,6.912
0.5,cw,10,0.254,46.11,20,6.912
0.5,ccw,10,0.254,47.34,20,6.912
0.5,ccw,10,0.254,48.2,20,6.912
0.5,ccw,10,0.254,50.68,20,6.912
0.5,cw,15,0.381,80.04,30,6.912
0.5,cw,15,0.381,80.04,30,6.912
0.5,cw,15,0.381,79.58,30,6.912
0.5,ccw,15,0.381,82.45,30,6.912
0.5,ccw,15,0.381,82.13,30,6.912
0.5,ccw,15,0.381,82.54,30,6.912
0.5,cw,20,0.508,114.95,40,6.912
0.5,cw,20,0.508,116.31,40,6.912
0.5,cw,20,0.508,116.54,40,6.912
0.5,ccw,20,0.508,117.45,40,6.912
0.5,ccw,20,0.508,117.94,40,6.912
0.5,ccw,20,0.508,118.48,40,6.912
1,cw,10,0.254,22.02,10,3.487
1,cw,10,0.254,21.26,10,3.487
1,cw,10,0.254,21.82,10,3.487
1,ccw,10,0.254,20.52,10,3.487
1,ccw,10,0.254,22.3,10,3.487
1,ccw,10,0.254,20.53,10,3.487
1,cw,15,0.381,40.95,15,3.487
1,cw,15,0.381,39.93,15,3.487
1,cw,15,0.381,41.58,15,3.487
1,ccw,15,0.381,41.67,15,3.487
1,ccw,15,0.381,41.19,15,3.487
1,ccw,15,0.381,40.04,15,3.487
1,cw,20,0.508,55.91,20,3.487
1,cw,20,0.508,55.57,20,3.487
1,cw,20,0.508,58.2,20,3.487
1,ccw,20,0.508,55.58,20,3.487
1,ccw,20,0.508,56.89,20,3.487
1,ccw,20,0.508,55.53,20,3.487
