diameter,speed,step,measured_angle,direction,gripper_position_rad,gripper_closure_percent,max_depth_intensity,tilt
0.2,50,20,228.72,cw,-1.3015,95,0.104782,0
0.2,50,20,227.43,cw,-1.3015,95,0.104782,0
0.2,50,20,226.99,cw,-1.3015,95,0.104782,0
0.2,50,20,224.35,ccw,-1.3015,95,0.104782,0
0.2,50,20,221.62,ccw,-1.3015,95,0.104782,0
0.2,50,20,220.22,ccw,-1.3015,95,0.104782,0
0.2,50,15,138.27,cw,-1.3015,95,0.104782,0
0.2,50,15,138.88,cw,-1.3015,95,0.104782,0
0.2,50,15,138.77,cw,-1.3015,95,0.104782,0
0.2,50,15,135.79,ccw,-1.3015,95,0.104782,0
0.2,50,15,137.03,ccw,-1.3015,95,0.104782,0
0.2,50,15,136.36,ccw,-1.3015,95,0.104782,0
0.2,50,10,78.1,cw,-1.3015,95,0.104782,0
0.2,50,10,74.63,cw,-1.3015,95,0.104782,0
0.2,50,10,77.69,cw,-1.3015,95,0.104782,0
0.2,50,10,74.03,ccw,-1.3015,95,0.104782,0
0.2,50,10,73.63,ccw,-1.3015,95,0.104782,0
0.2,50,10,75.31,ccw,-1.3015,95,0.104782,0
0.5,50,10,46.12,cw,-1.3015,95,0.104782,0
0.5,50,10,48.52,cw,-1.3015,95,0.104782,0
0.5,50,10,46.11,cw,-1.3015,95,0.104782,0
0.5,50,10,47.34,ccw,-1.3015,95,0.104782,0
0.5,50,10,48.2,ccw,-1.3015,95,0.104782,0
0.5,50,10,50.68,ccw,-1.3015,95,0.104782,0
0.5,50,15,80.04,cw,-1.3015,95,0.104782,0
0.5,50,15,80.04,cw,-1.3015,95,0.104782,0
0.5,50,15,79.58,cw,-1.3015,95,0.104782,0
0.5,50,15,82.45,ccw,-1.3015,95,0.104782,0
0.5,50,15,82.13,ccw,-1.3015,95,0.104782,0
0.5,50,15,82.54,ccw,-1.3015,95,0.104782,0
0.5,50,20,114.95,cw,-1.3015,95,0.104782,0
0.5,50,20,116.31,cw,-1.3015,95,0.104782,0
0.5,50,20,116.54,cw,-1.3015,95,0.104782,0
0.5,50,20,117.45,ccw,-1.3015,95,0.104782,0
0.5,50,20,117.94,ccw,-1.3015,95,0.104782,0
0.5,50,20,118.48,ccw,-1.3015,95,0.104782,0
1,50,10,22.02,cw,-1.3015,95,0.256966,0
1,50,10,21.26,cw,-1.3015,95,0.240737,0
1,50,10,21.82,cw,-1.3015,95,0.24738,0
1,50,10,20.52,ccw,-1.3015,95,0.260161,0
1,50,10,22.3,ccw,-1.3015,95,0.254412,0
1,50,10,20.53,ccw,-1.3015,95,0.245559,0
1,50,15,40.95,cw,-1.3015,95,0.245957,0
1,50,15,39.93,cw,-1.3015,95,0.245698,0
1,50,15,41.58,cw,-1.3015,95,0.247743,0
1,50,15,41.67,ccw,-1.3015,95,0.252653,0
1,50,15,41.19,ccw,-1.3015,95,0.238311,0
1,50,15,40.04,ccw,-1.3015,95,0.262872,0
1,50,20,55.91,cw,-1.3015,95,0.252142,0
1,50,20,55.57,cw,-1.3015,95,0.254065,0
1,50,20,58.2,cw,-1.3015,95,0.253081,0
1,50,20,55.58,ccw,-1.3015,95,0.250257,0
1,50,20,56.89,ccw,-1.3015,95,0.257587,0
1,50,20,55.53,ccw,-1.3015,95,0.253553,0
