tip_type,zero_height,platform_height,net_height,mean_fz_bota,fz_abs,peak_intensity_dm
flat,39,39.1,0.1,-0.2861,0.2861,0.106
flat,39,39.1,0.1,-0.3486,0.3486,0.109
flat,39,39.1,0.1,-0.3349,0.3349,0.108
flat,39,39.1,0.1,-0.2357,0.2357,0.106
flat,39,39.1,0.1,-0.3787,0.3787,0.118
flat,39,39.2,0.2,-0.6395,0.6395,0.202
flat,39,39.2,0.2,-0.734,0.734,0.258
flat,39,39.2,0.2,-0.6238,0.6238,0.216
flat,39,39.2,0.2,-0.5493,0.5493,0.192
flat,39,39.2,0.2,-0.6869,0.6869,0.256
flat,39,39.3,0.3,-0.8884,0.8884,0.312
flat,39,39.3,0.3,-0.8055,0.8055,0.306
flat,39,39.3,0.3,-0.9127,0.9127,0.358
flat,39,39.3,0.3,-0.7839,0.7839,0.298
flat,39,39.3,0.3,-1.0909,1.0909,0.426
flat,39,39.4,0.4,-1.1415,1.1415,0.413
flat,39,39.4,0.4,-1.1248,1.1248,0.419
flat,39,39.4,0.4,-1.228,1.228,0.47
flat,39,39.4,0.4,-1.0903,1.0903,0.419
flat,39,39.4,0.4,-1.3021,1.3021,0.507
flat,39,39.5,0.5,-1.5012,1.5012,0.531
flat,39,39.5,0.5,-1.5701,1.5701,0.573
flat,39,39.5,0.5,-1.5623,1.5623,0.584
flat,39,39.5,0.5,-1.4513,1.4513,0.547
flat,39,39.5,0.5,-1.4868,1.4868,0.582
flat,39,39.6,0.6,-1.7059,1.7059,0.606
flat,39,39.6,0.6,-1.8517,1.8517,0.672
flat,39,39.6,0.6,-1.6618,1.6618,0.642
flat,39,39.6,0.6,-1.8025,1.8025,0.669
flat,39,39.6,0.6,-1.7649,1.7649,0.675
flat,39,39.7,0.7,-1.8585,1.8585,0.658
flat,39,39.7,0.7,-1.9808,1.9808,0.724
flat,39,39.7,0.7,-1.9152,1.9152,0.723
flat,39,39.7,0.7,-2.1691,2.1691,0.807
flat,39,39.7,0.7,-2.0979,2.0979,0.786
flat,39,39.8,0.8,-2.1465,2.1465,0.758
flat,39,39.8,0.8,-2.2004,2.2004,0.803
flat,39,39.8,0.8,-2.2284,2.2284,0.828
flat,39,39.8,0.8,-2.4863,2.4863,0.924
flat,39,39.8,0.8,-2.4042,2.4042,0.893
flat,39,39.9,0.9,-2.4588,2.4588,0.885
flat,39,39.9,0.9,-2.4959,2.4959,0.911
flat,39,39.9,0.9,-2.6748,2.6748,0.99
flat,39,39.9,0.9,-2.72,2.72,1.01
flat,39,39.9,0.9,-2.8324,2.8324,1.061
flat,39,40,1,-2.7573,2.7573,1.004
flat,39,40,1,-2.8969,2.8969,1.054
flat,39,40,1,-2.9415,2.9415,1.098
flat,39,40,1,-3.1258,3.1258,1.168
flat,39,40,1,-3.206,3.206,1.188
round,40.3,40.4,0.1,-0.0084,0.0084,0.104
round,40.3,40.4,0.1,-0.0075,0.0075,0.104
round,40.3,40.4,0.1,-0.0005,0.0005,0.104
round,40.3,40.5,0.2,-0.0893,0.0893,0.104
round,40.3,40.5,0.2,-0.0978,0.0978,0.104
round,40.3,40.5,0.2,-0.1072,0.1072,0.104
round,40.3,40.6,0.3,-0.1539,0.1539,0.104
round,40.3,40.6,0.3,-0.1742,0.1742,0.104
round,40.3,40.6,0.3,-0.1884,0.1884,0.104
round,40.3,40.7,0.4,-0.2704,0.2704,0.104
round,40.3,40.7,0.4,-0.2777,0.2777,0.105
round,40.3,40.7,0.4,-0.2645,0.2645,0.106
round,40.3,40.8,0.5,-0.4707,0.4707,0.211
round,40.3,40.8,0.5,-0.4688,0.4688,0.219
round,40.3,40.8,0.5,-0.3664,0.3664,0.164
round,40.3,40.9,0.6,-0.624,0.624,0.302
round,40.3,40.9,0.6,-0.7091,0.7091,0.358
round,40.3,40.9,0.6,-0.5796,0.5796,0.29
round,40.3,41,0.7,-0.6718,0.6718,0.344
round,40.3,41,0.7,-0.5706,0.5706,0.293
round,40.3,41,0.7,-0.7356,0.7356,0.371
round,40.3,41.1,0.8,-0.7587,0.7587,0.394
round,40.3,41.1,0.8,-0.7636,0.7636,0.388
round,40.3,41.1,0.8,-0.8423,0.8423,0.425
round,40.3,41.2,0.9,-0.8727,0.8727,0.439
round,40.3,41.2,0.9,-0.926,0.926,0.459
round,40.3,41.2,0.9,-0.9674,0.9674,0.48
round,40.3,41.3,1,-1.1329,1.1329,0.548
round,40.3,41.3,1,-1.1053,1.1053,0.534
round,40.3,41.3,1,-1.1548,1.1548,0.562
